ano,filme,titulo_en,diretor,status
1960,Death Commands Brigandage,A Morte Comanda o Cangaço,"Carlos Coimbra, Walter Guimarães Motta",Submetido
1962,Keeper of Promises[a],O Pagador de Promessas,Anselmo Duarte,Indicado
1964,"Black God, White Devil",Deus e o Diabo na Terra do Sol,Glauber Rocha,Submetido
1965,"São Paulo, Incorporated","São Paulo, Sociedade Anônima",Luis Sérgio Person,Submetido
1967,Case of the Naves Brothers,O Caso dos Irmãos Naves,Luis Sérgio Person,Submetido
1968,The Amorous Ones,As Amorosas,Walter Hugo Khouri,Submetido
1969,Antonio das Mortes,O Dragão da Maldade contra o Santo Guerreiro,Glauber Rocha,Submetido
1970,Mortal Sin,Pecado Mortal,Miguel Faria Jr.,Submetido
1971,"Pra Quem Fica, Tchau","Pra Quem Fica, Tchau",Reginaldo Faria,Submetido
1972,How Tasty Was My Little Frenchman,Como Era Gostoso o Meu Francês,Nelson Pereira dos Santos,Submetido
1973,João and the Knife,A Faca e o Rio,George Sluizer,Submetido
1974,The Scarecrow's Night,A Noite do Espantalho,Sérgio Ricardo,Submetido
1975,The Amulet of Ogum,O Amuleto de Ogum,Nelson Pereira dos Santos,Submetido
1976,Xica,Xica da Silva,Carlos Diegues,Submetido
1977,Tent of Miracles,Tenda dos Milagres,Nelson Pereira dos Santos,Submetido
1978,The Lyre of Delight,A Lira do Delírio,Walter Lima Jr.,Submetido
1980,Bye Bye Brazil,Bye Bye Brasil,Carlos Diegues,Submetido
1981,Pixote,Pixote: A Lei do Mais Fraco,Héctor Babenco,Submetido
1984,Memoirs of Prison,Memórias do Cárcere,Nelson Pereira dos Santos,Submetido
1986,Hour of the Star,A Hora da Estrela,Suzana Amaral,Submetido
1987,Subway to the Stars,Um Trem para as Estrelas,Carlos Diegues,Submetido
1988,The Story of Fausta,Romance da Empregada,Bruno Barreto,Submetido
1989,Better Days Ahead,Dias Melhores Virão,Carlos Diegues,Submetido
1991,Exposure,A Grande Arte[12],Walter Salles,Submetido
1995,O Quatrilho,O Quatrilho,Fábio Barreto,Indicado
1996,Tieta of Agreste,Tieta do Agreste,Carlos Diegues,Submetido
1997,Four Days in September,"O Que é Isso, Companheiro?",Bruno Barreto,Indicado
1998,Central Station[b],Central do Brasil,Walter Salles,Indicado
1999,Orfeu,Orfeu,Carlos Diegues,Submetido
2000,"Me, You, Them","Eu, Tu, Eles",Andrucha Waddington,Submetido
2001,Behind the Sun,Abril Despedaçado,Walter Salles,Submetido
2002,City of God[c],Cidade de Deus,Fernando Meirelles,Submetido
2003,Carandiru,Carandiru,Héctor Babenco,Submetido
2004,Olga,Olga,Jayme Monjardim,Submetido
2005,Two Sons of Francisco,Dois Filhos de Francisco,Breno Silveira,Submetido
2006,"Cinema, Aspirins and Vultures","Cinema, Aspirinas e Urubus",Marcelo Gomes,Submetido
2007,The Year My Parents Went on Vacation,O Ano em que Meus Pais Saíram de Férias,Cao Hamburger,Shortlisted
2008,Last Stop 174,Última Parada 174,Bruno Barreto,Submetido
2009,Time of Fear,Salve Geral,Sérgio Rezende,Submetido
2010,"Lula, Son of Brazil[17]",Lula: O Filho do Brasil,Fábio Barreto,Submetido
2011,Elite Squad: The Enemy Within[18],Tropa de Elite 2: O Inimigo Agora é Outro,José Padilha,Submetido
2012,The Clown[19],O Palhaço,Selton Mello,Submetido
2013,Neighbouring Sounds[20],O Som ao Redor,Kleber Mendonça Filho,Submetido
2014,The Way He Looks[21],Hoje Eu Quero Voltar Sozinho,Daniel Ribeiro,Submetido
2015,The Second Mother[22],Que Horas Ela Volta?,Anna Muylaert,Submetido
2016,Little Secret[23][24],Pequeno Segredo,David Schurmann,Submetido
2017,Bingo: The King of the Mornings[25],Bingo: O Rei das Manhãs,Daniel Rezende,Submetido
2018,The Great Mystical Circus[26],O Grande Circo Místico,Carlos Diegues,Submetido
2019,The Invisible Life of Eurídice Gusmão[27],A Vida Invisível de Eurídice Gusmão,Karim Aïnouz,Submetido
2020,Babenco: Tell Me When I Die[28],Babenco – Alguém Tem que Ouvir o Coração e Dizer: Parou,Bárbara Paz,Submetido
2021,Private Desert[29],Deserto Particular,Aly Muritiba,Submetido
2022,Mars One[30],Marte Um,Gabriel Martins,Submetido
2023,Pictures of Ghosts[31],Retratos Fantasmas,Kleber Mendonça Filho,Submetido
2024,I'm Still Here[d][32],Ainda Estou Aqui,Walter Salles,Vencedor
2025,The Secret Agent[e][33],O Agente Secreto,Kleber Mendonça Filho,Indicado
